date,MARUTI.NS,M&M.NS,TATAMOTORS.NS,BAJAJ-AUTO.NS,HEROMOTOCO.NS,EICHERMOT.NS,BHARATFORG.NS,BALKRISIND.NS,ASHOKLEY.NS,MRF.NS
19-05-2016,3926.600098,655.5250244,386.8999939,2435.449951,2891.300049,1820.069946,359.2250061,350.8999939,101.9499969,32579.19922
20-05-2016,3944.949951,646.5499878,384.4500122,2453,2896.699951,1828.064941,359.2999878,336.3250122,99.44999695,32005.80078
23-05-2016,3913.850098,642.4749756,381.75,2421.800049,2887.550049,1826.810059,356.25,334.9249878,100,31783.80078
24-05-2016,3924.199951,647.4000244,389.1000061,2379.399902,2899.399902,1817.72998,363.1499939,339.8999939,101.5999985,31164.44922
25-05-2016,4060.949951,655.875,397,2475.300049,2927.25,1853.064941,370.7250061,337.7000122,97.25,31965.40039
26-05-2016,4118,669.5499878,399.25,2505.149902,2962.199951,1839.435059,375.7000122,346.4500122,104.1999969,32553.05078
27-05-2016,4146.600098,666.8499756,403.8999939,2563.699951,3002.5,1874.22998,372.3500061,342.3500061,106.8000031,33542.19922
30-05-2016,4071.75,665.4249878,421.25,2607.149902,3097.5,1874.170044,372.7749939,342.2000122,106.0500031,33447.89844
31-05-2016,4161.600098,661.1500244,459.6499939,2618.350098,3098.899902,1848.584961,377.7000122,333.0750122,108.9499969,33774.44922
01-06-2016,4165.350098,666.875,449.2000122,2603.800049,3089.100098,1871.324951,380.8250122,339.8500061,104.4499969,33341.94922
02-06-2016,4186.649902,666.625,453.4500122,2594.949951,3144.300049,1880.685059,379.875,336.25,105.5500031,33425.60156
03-06-2016,4217.950195,677.0999756,453.9500122,2639.199951,3146.199951,1878.699951,376.125,339.2250061,106.4499969,33427.64844
06-06-2016,4142,684.8499756,460.5,2630,3113.25,1899.494995,370.4249878,338.2749939,105.3000031,33262.39844
07-06-2016,4135.649902,688.9749756,463.0499878,2640.75,3129.699951,1882.805054,374.1499939,338.9750061,106.1999969,33013.5
08-06-2016,4160.100098,693.1500244,466.1499939,2632.350098,3170.100098,1882.454956,382.4249878,339.4500122,105.75,32612.25
09-06-2016,4169.149902,686.7000122,467.1499939,2592.350098,3086.699951,1858.400024,380.3250122,337.9500122,107.0999985,32546.44922
10-06-2016,4111.5,687.9249878,456.9500122,2579.949951,3069.5,1862.015015,375.2250061,340.1000061,105.25,32197.05078
13-06-2016,4134.75,678.6749878,444.25,2583.75,3036.449951,1844.765015,372.0499878,338.625,105.25,31982.65039
14-06-2016,4104.5,677.7999878,448.3999939,2560.75,3005.800049,1875.36499,370.4750061,336.8250122,105,31923.19922
